class	source_root	files	bytes	reason
deliverables-excluded	deliverables	1053	23792573501	excluded by archive policy
cm2-runtime-excluded	.cm2-runtime	12266	30571336993	excluded by archive policy
paper-packages-excluded	/data/home-data/hepta-paper-assets/submission/AoM/A_Theory_of__Expectations/packages	24	650252605	excluded by archive policy
paper-automation-excluded	/data/home-data/hepta-paper-assets/submission/AoM/A_Theory_of__Expectations/automation-results	4	5778733	excluded by archive policy
